name,gender,race,herotype,alttype,rangetype,description,stats
Kareth,Male,Dryad,Support,Marksman,Melee,"A noble warrior from the Dryad lineage, known for unyielding defense.","{'hp_base': 682, 'hp_lvl': 88, 'mp_base': 0, 'mp_lvl': 31, 'armor_base': 30, 'armor_lvl': 2.6, 'attack_base': 59, 'attack_lvl': 3.6, 'speed': 345}"
Zepir,Non-binary,Voidborn,Marksman,Fighter,Ranged,"A mysterious warrior from the Voidborn lineage, known for unmatched strength.","{'hp_base': 517, 'hp_lvl': 110, 'mp_base': 411, 'mp_lvl': 30, 'armor_base': 26, 'armor_lvl': 4.3, 'attack_base': 65, 'attack_lvl': 3.1, 'speed': 325}"
Vexae,Non-binary,Targonian,Mage,Assassin,Ranged,"A mysterious warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 639, 'hp_lvl': 100, 'mp_base': 432, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 2.9, 'attack_base': 48, 'attack_lvl': 3.6, 'speed': 345}"
Vexus,Male,Fireborn,Mage,Tank,Melee,"A ancient warrior from the Fireborn lineage, known for blazing speed.","{'hp_base': 618, 'hp_lvl': 87, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 20, 'armor_lvl': 4.5, 'attack_base': 68, 'attack_lvl': 3.1, 'speed': 330}"
Nirith,Non-binary,Vastayan,Tank,Assassin,Ranged,"A noble warrior from the Vastayan lineage, known for stealth tactics.","{'hp_base': 560, 'hp_lvl': 113, 'mp_base': 314, 'mp_lvl': 0, 'armor_base': 21, 'armor_lvl': 3.7, 'attack_base': 69, 'attack_lvl': 2.9, 'speed': 325}"
Zulax,Non-binary,Fireborn,Marksman,Tank,Ranged,"A mysterious warrior from the Fireborn lineage, known for stealth tactics.","{'hp_base': 659, 'hp_lvl': 102, 'mp_base': 0, 'mp_lvl': 44, 'armor_base': 31, 'armor_lvl': 4.2, 'attack_base': 55, 'attack_lvl': 2.6, 'speed': 345}"
Mythir,Female,Targonian,Assassin,Support,Melee,"A powerful warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 575, 'hp_lvl': 91, 'mp_base': 0, 'mp_lvl': 36, 'armor_base': 19, 'armor_lvl': 3.8, 'attack_base': 64, 'attack_lvl': 3.7, 'speed': 345}"
Zepiel,Non-binary,Skyborne,Mage,Assassin,Ranged,"A mysterious warrior from the Skyborne lineage, known for arcane mastery.","{'hp_base': 644, 'hp_lvl': 97, 'mp_base': 308, 'mp_lvl': 0, 'armor_base': 28, 'armor_lvl': 4.0, 'attack_base': 62, 'attack_lvl': 2.9, 'speed': 340}"
Veliel,Non-binary,Celestian,Mage,Tank,Melee,"A mysterious warrior from the Celestian lineage, known for unmatched strength.","{'hp_base': 627, 'hp_lvl': 103, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 26, 'armor_lvl': 4.2, 'attack_base': 68, 'attack_lvl': 3.7, 'speed': 345}"
Zulyx,Non-binary,Golemkin,Assassin,Mage,Melee,"A mysterious warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 662, 'hp_lvl': 92, 'mp_base': 0, 'mp_lvl': 46, 'armor_base': 24, 'armor_lvl': 3.3, 'attack_base': 60, 'attack_lvl': 2.8, 'speed': 340}"
Draxra,Female,Elven,Tank,Fighter,Ranged,"A cursed warrior from the Elven lineage, known for arcane mastery.","{'hp_base': 581, 'hp_lvl': 108, 'mp_base': 381, 'mp_lvl': 50, 'armor_base': 34, 'armor_lvl': 4.0, 'attack_base': 70, 'attack_lvl': 3.0, 'speed': 325}"
Elyra,Female,Targonian,Fighter,Support,Melee,"A mysterious warrior from the Targonian lineage, known for unyielding defense.","{'hp_base': 509, 'hp_lvl': 111, 'mp_base': 412, 'mp_lvl': 0, 'armor_base': 19, 'armor_lvl': 3.0, 'attack_base': 55, 'attack_lvl': 3.0, 'speed': 325}"
Sylara,Male,Celestian,Fighter,Tank,Ranged,"A mysterious warrior from the Celestian lineage, known for blazing speed.","{'hp_base': 508, 'hp_lvl': 84, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 21, 'armor_lvl': 4.1, 'attack_base': 65, 'attack_lvl': 3.2, 'speed': 345}"
Kaelir,Non-binary,Golemkin,Support,Fighter,Ranged,"A mysterious warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 679, 'hp_lvl': 104, 'mp_base': 325, 'mp_lvl': 41, 'armor_base': 24, 'armor_lvl': 3.8, 'attack_base': 53, 'attack_lvl': 2.8, 'speed': 330}"
Draxus,Non-binary,Golemkin,Mage,Tank,Melee,"A cursed warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 526, 'hp_lvl': 124, 'mp_base': 322, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 3.3, 'attack_base': 61, 'attack_lvl': 3.5, 'speed': 345}"
Karyx,Female,Vastayan,Tank,Mage,Melee,"A ancient warrior from the Vastayan lineage, known for arcane mastery.","{'hp_base': 588, 'hp_lvl': 91, 'mp_base': 308, 'mp_lvl': 0, 'armor_base': 23, 'armor_lvl': 2.7, 'attack_base': 69, 'attack_lvl': 2.9, 'speed': 340}"
Kaelus,Non-binary,Targonian,Assassin,Fighter,Ranged,"A ancient warrior from the Targonian lineage, known for unmatched strength.","{'hp_base': 546, 'hp_lvl': 81, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 27, 'armor_lvl': 4.3, 'attack_base': 66, 'attack_lvl': 3.5, 'speed': 340}"
Baelith,Non-binary,Golemkin,Mage,Fighter,Melee,"A powerful warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 595, 'hp_lvl': 103, 'mp_base': 0, 'mp_lvl': 33, 'armor_base': 18, 'armor_lvl': 4.5, 'attack_base': 67, 'attack_lvl': 3.5, 'speed': 325}"
Zuliel,Female,Elven,Tank,Fighter,Melee,"A noble warrior from the Elven lineage, known for unmatched strength.","{'hp_base': 684, 'hp_lvl': 124, 'mp_base': 421, 'mp_lvl': 42, 'armor_base': 23, 'armor_lvl': 3.0, 'attack_base': 67, 'attack_lvl': 3.1, 'speed': 330}"
Draxion,Female,Demon,Fighter,Mage,Ranged,"A mysterious warrior from the Demon lineage, known for unmatched strength.","{'hp_base': 567, 'hp_lvl': 105, 'mp_base': 0, 'mp_lvl': 39, 'armor_base': 20, 'armor_lvl': 3.0, 'attack_base': 60, 'attack_lvl': 3.4, 'speed': 325}"
Zaryth,Female,Demon,Assassin,Fighter,Melee,"A cursed warrior from the Demon lineage, known for stealth tactics.","{'hp_base': 574, 'hp_lvl': 109, 'mp_base': 0, 'mp_lvl': 35, 'armor_base': 22, 'armor_lvl': 3.6, 'attack_base': 67, 'attack_lvl': 3.4, 'speed': 340}"
Thalor,Male,Fireborn,Tank,Support,Melee,"A ancient warrior from the Fireborn lineage, known for unyielding defense.","{'hp_base': 663, 'hp_lvl': 125, 'mp_base': 350, 'mp_lvl': 40, 'armor_base': 35, 'armor_lvl': 4.1, 'attack_base': 58, 'attack_lvl': 3.1, 'speed': 330}"
Elarin,Non-binary,Vastayan,Mage,Assassin,Ranged,"A mysterious warrior from the Vastayan lineage, known for arcane mastery.","{'hp_base': 520, 'hp_lvl': 95, 'mp_base': 420, 'mp_lvl': 55, 'armor_base': 20, 'armor_lvl': 3.0, 'attack_base': 52, 'attack_lvl': 2.7, 'speed': 335}"
Kaelra,Female,Targonian,Marksman,Mage,Ranged,"A noble warrior from the Targonian lineage, known for unmatched strength.","{'hp_base': 540, 'hp_lvl': 88, 'mp_base': 400, 'mp_lvl': 45, 'armor_base': 21, 'armor_lvl': 3.2, 'attack_base': 60, 'attack_lvl': 3.0, 'speed': 330}"
Dromar,Male,Golemkin,Fighter,Tank,Melee,"A powerful warrior from the Golemkin lineage, known for blazing speed.","{'hp_base': 650, 'hp_lvl': 120, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 32, 'armor_lvl': 4.0, 'attack_base': 65, 'attack_lvl': 3.5, 'speed': 325}"
Velien,Non-binary,Celestian,Mage,Support,Ranged,"A ancient warrior from the Celestian lineage, known for arcane mastery.","{'hp_base': 560, 'hp_lvl': 92, 'mp_base': 430, 'mp_lvl': 60, 'armor_base': 19, 'armor_lvl': 2.9, 'attack_base': 50, 'attack_lvl': 2.8, 'speed': 335}"
Myrrha,Female,Dryad,Support,Mage,Ranged,"A noble warrior from the Dryad lineage, known for soothing magic and wisdom.","{'hp_base': 505, 'hp_lvl': 85, 'mp_base': 410, 'mp_lvl': 50, 'armor_base': 18, 'armor_lvl': 2.7, 'attack_base': 48, 'attack_lvl': 2.6, 'speed': 330}"
Varnok,Male,Voidborn,Fighter,Assassin,Melee,"A cursed warrior from the Voidborn lineage, known for unmatched strength.","{'hp_base': 615, 'hp_lvl': 110, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 28, 'armor_lvl': 3.9, 'attack_base': 66, 'attack_lvl': 3.3, 'speed': 340}"
Zephyra,Female,Sylph,Marksman,Support,Ranged,"A mysterious warrior from the Sylph lineage, known for blazing speed.","{'hp_base': 535, 'hp_lvl': 87, 'mp_base': 405, 'mp_lvl': 47, 'armor_base': 20, 'armor_lvl': 2.8, 'attack_base': 59, 'attack_lvl': 2.9, 'speed': 335}"
Lorien,Non-binary,Skyborne,Mage,Tank,Ranged,"A powerful warrior from the Skyborne lineage, known for arcane mastery.","{'hp_base': 610, 'hp_lvl': 115, 'mp_base': 390, 'mp_lvl': 50, 'armor_base': 26, 'armor_lvl': 3.5, 'attack_base': 54, 'attack_lvl': 2.7, 'speed': 330}"
Zepion,Male,Dwarven,Assassin,,Ranged,"A cursed warrior from the Dwarven lineage, known for unyielding defense.","{'hp_base': 514, 'hp_lvl': 111, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 3.8, 'attack_base': 54, 'attack_lvl': 3.0, 'speed': 330}"
Lorin,Male,Vastayan,Fighter,,Melee,"A mysterious warrior from the Vastayan lineage, known for unyielding defense.","{'hp_base': 668, 'hp_lvl': 110, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 24, 'armor_lvl': 3.3, 'attack_base': 66, 'attack_lvl': 3.5, 'speed': 335}"
Sylin,Female,Voidborn,Assassin,Tank,Ranged,"A ancient warrior from the Voidborn lineage, known for arcane mastery.","{'hp_base': 564, 'hp_lvl': 85, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 27, 'armor_lvl': 3.8, 'attack_base': 69, 'attack_lvl': 2.8, 'speed': 340}"
Elyiel,Female,Skyborne,Fighter,Assassin,Ranged,"A powerful warrior from the Skyborne lineage, known for arcane mastery.","{'hp_base': 680, 'hp_lvl': 104, 'mp_base': 0, 'mp_lvl': 40, 'armor_base': 33, 'armor_lvl': 2.8, 'attack_base': 52, 'attack_lvl': 3.6, 'speed': 330}"
Draxin,Non-binary,Dwarven,Support,Mage,Melee,"A ancient warrior from the Dwarven lineage, known for arcane mastery.","{'hp_base': 564, 'hp_lvl': 92, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 29, 'armor_lvl': 3.3, 'attack_base': 69, 'attack_lvl': 3.5, 'speed': 345}"
Karara,Non-binary,Sylph,Fighter,,Ranged,"A noble warrior from the Sylph lineage, known for blazing speed.","{'hp_base': 680, 'hp_lvl': 82, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 36, 'armor_lvl': 2.6, 'attack_base': 64, 'attack_lvl': 3.2, 'speed': 335}"
Baelon,Male,Demon,Support,Fighter,Ranged,"A noble warrior from the Demon lineage, known for arcane mastery.","{'hp_base': 611, 'hp_lvl': 115, 'mp_base': 0, 'mp_lvl': 59, 'armor_base': 26, 'armor_lvl': 2.6, 'attack_base': 48, 'attack_lvl': 2.9, 'speed': 345}"
Goriel,Female,Dwarven,Tank,Fighter,Ranged,"A ancient warrior from the Dwarven lineage, known for blazing speed.","{'hp_base': 576, 'hp_lvl': 127, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 3.7, 'attack_base': 57, 'attack_lvl': 3.3, 'speed': 330}"
Goreth,Male,Elven,Mage,Support,Melee,"A mysterious warrior from the Elven lineage, known for unyielding defense.","{'hp_base': 544, 'hp_lvl': 110, 'mp_base': 367, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 2.7, 'attack_base': 51, 'attack_lvl': 2.9, 'speed': 330}"
Niren,Female,Targonian,Fighter,Tank,Melee,"A noble warrior from the Targonian lineage, known for stealth tactics.","{'hp_base': 632, 'hp_lvl': 106, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 34, 'armor_lvl': 3.5, 'attack_base': 55, 'attack_lvl': 2.5, 'speed': 330}"
Zepion,Male,Dwarven,Assassin,,Ranged,"A cursed warrior from the Dwarven lineage, known for unyielding defense.","{'hp_base': 514, 'hp_lvl': 111, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 3.8, 'attack_base': 54, 'attack_lvl': 3.0, 'speed': 330}"
Lorin,Male,Vastayan,Fighter,,Melee,"A mysterious warrior from the Vastayan lineage, known for unyielding defense.","{'hp_base': 668, 'hp_lvl': 110, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 24, 'armor_lvl': 3.3, 'attack_base': 66, 'attack_lvl': 3.5, 'speed': 335}"
Sylin,Female,Voidborn,Assassin,Tank,Ranged,"A ancient warrior from the Voidborn lineage, known for arcane mastery.","{'hp_base': 564, 'hp_lvl': 85, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 27, 'armor_lvl': 3.8, 'attack_base': 69, 'attack_lvl': 2.8, 'speed': 340}"
Elyiel,Female,Skyborne,Fighter,Assassin,Ranged,"A powerful warrior from the Skyborne lineage, known for arcane mastery.","{'hp_base': 680, 'hp_lvl': 104, 'mp_base': 0, 'mp_lvl': 40, 'armor_base': 33, 'armor_lvl': 2.8, 'attack_base': 52, 'attack_lvl': 3.6, 'speed': 330}"
Draxin,Non-binary,Dwarven,Support,Mage,Melee,"A ancient warrior from the Dwarven lineage, known for arcane mastery.","{'hp_base': 564, 'hp_lvl': 92, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 29, 'armor_lvl': 3.3, 'attack_base': 69, 'attack_lvl': 3.5, 'speed': 345}"
Karara,Non-binary,Sylph,Fighter,,Ranged,"A noble warrior from the Sylph lineage, known for blazing speed.","{'hp_base': 680, 'hp_lvl': 82, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 36, 'armor_lvl': 2.6, 'attack_base': 64, 'attack_lvl': 3.2, 'speed': 335}"
Baelon,Male,Demon,Support,Fighter,Ranged,"A noble warrior from the Demon lineage, known for arcane mastery.","{'hp_base': 611, 'hp_lvl': 115, 'mp_base': 0, 'mp_lvl': 59, 'armor_base': 26, 'armor_lvl': 2.6, 'attack_base': 48, 'attack_lvl': 2.9, 'speed': 345}"
Goriel,Female,Dwarven,Tank,Fighter,Ranged,"A ancient warrior from the Dwarven lineage, known for blazing speed.","{'hp_base': 576, 'hp_lvl': 127, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 3.7, 'attack_base': 57, 'attack_lvl': 3.3, 'speed': 330}"
Goreth,Male,Elven,Mage,Support,Melee,"A mysterious warrior from the Elven lineage, known for unyielding defense.","{'hp_base': 544, 'hp_lvl': 110, 'mp_base': 367, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 2.7, 'attack_base': 51, 'attack_lvl': 2.9, 'speed': 330}"
