name,gender,race,herotype,alttype,rangetype,description,stats
Niren,Female,Targonian,Fighter,Tank,Melee,"A noble warrior from the Targonian lineage, known for stealth tactics.","{'hp_base': 632, 'hp_lvl': 106, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 34, 'armor_lvl': 3.5, 'attack_base': 55, 'attack_lvl': 2.5, 'speed': 330}"
Draxra,Female,Elven,Tank,Fighter,Ranged,"A cursed warrior from the Elven lineage, known for arcane mastery.","{'hp_base': 581, 'hp_lvl': 108, 'mp_base': 381, 'mp_lvl': 50, 'armor_base': 34, 'armor_lvl': 4.0, 'attack_base': 70, 'attack_lvl': 3.0, 'speed': 325}"
Elyra,Female,Targonian,Fighter,Support,Melee,"A mysterious warrior from the Targonian lineage, known for unyielding defense.","{'hp_base': 509, 'hp_lvl': 111, 'mp_base': 412, 'mp_lvl': 0, 'armor_base': 19, 'armor_lvl': 3.0, 'attack_base': 55, 'attack_lvl': 3.0, 'speed': 325}"
Sylara,Male,Celestian,Fighter,Tank,Ranged,"A mysterious warrior from the Celestian lineage, known for blazing speed.","{'hp_base': 508, 'hp_lvl': 84, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 21, 'armor_lvl': 4.1, 'attack_base': 65, 'attack_lvl': 3.2, 'speed': 345}"
Kaelir,Non-binary,Golemkin,Support,Fighter,Ranged,"A mysterious warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 679, 'hp_lvl': 104, 'mp_base': 325, 'mp_lvl': 41, 'armor_base': 24, 'armor_lvl': 3.8, 'attack_base': 53, 'attack_lvl': 2.8, 'speed': 330}"
Draxus,Non-binary,Golemkin,Mage,Tank,Melee,"A cursed warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 526, 'hp_lvl': 124, 'mp_base': 322, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 3.3, 'attack_base': 61, 'attack_lvl': 3.5, 'speed': 345}"
Karyx,Female,Vastayan,Tank,Mage,Melee,"A ancient warrior from the Vastayan lineage, known for arcane mastery.","{'hp_base': 588, 'hp_lvl': 91, 'mp_base': 308, 'mp_lvl': 0, 'armor_base': 23, 'armor_lvl': 2.7, 'attack_base': 69, 'attack_lvl': 2.9, 'speed': 340}"
Kaelus,Non-binary,Targonian,Assassin,Fighter,Ranged,"A ancient warrior from the Targonian lineage, known for unmatched strength.","{'hp_base': 546, 'hp_lvl': 81, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 27, 'armor_lvl': 4.3, 'attack_base': 66, 'attack_lvl': 3.5, 'speed': 340}"
Baelith,Non-binary,Golemkin,Mage,Fighter,Melee,"A powerful warrior from the Golemkin lineage, known for stealth tactics.","{'hp_base': 595, 'hp_lvl': 103, 'mp_base': 0, 'mp_lvl': 33, 'armor_base': 18, 'armor_lvl': 4.5, 'attack_base': 67, 'attack_lvl': 3.5, 'speed': 325}"
Zuliel,Female,Elven,Tank,Fighter,Melee,"A noble warrior from the Elven lineage, known for unmatched strength.","{'hp_base': 684, 'hp_lvl': 124, 'mp_base': 421, 'mp_lvl': 42, 'armor_base': 23, 'armor_lvl': 3.0, 'attack_base': 67, 'attack_lvl': 3.1, 'speed': 330}"
Draxion,Female,Demon,Fighter,Mage,Ranged,"A mysterious warrior from the Demon lineage, known for unmatched strength.","{'hp_base': 567, 'hp_lvl': 105, 'mp_base': 0, 'mp_lvl': 39, 'armor_base': 20, 'armor_lvl': 3.0, 'attack_base': 60, 'attack_lvl': 3.4, 'speed': 325}"
Mythae,Non-binary,Celestian,Tank,Mage,Ranged,"A noble warrior from the Celestian lineage, known for unyielding defense.","{'hp_base': 679, 'hp_lvl': 111, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 3.7, 'attack_base': 55, 'attack_lvl': 2.5, 'speed': 345}"
Kaelyx,Male,Vastayan,Tank,Marksman,Melee,"A ancient warrior from the Vastayan lineage, known for unyielding defense.","{'hp_base': 537, 'hp_lvl': 120, 'mp_base': 347, 'mp_lvl': 0, 'armor_base': 25, 'armor_lvl': 3.0, 'attack_base': 51, 'attack_lvl': 3.2, 'speed': 335}"
Gorith,Female,Dryad,Assassin,,Melee,"A mysterious warrior from the Dryad lineage, known for unmatched strength.","{'hp_base': 523, 'hp_lvl': 127, 'mp_base': 339, 'mp_lvl': 41, 'armor_base': 28, 'armor_lvl': 3.2, 'attack_base': 65, 'attack_lvl': 3.5, 'speed': 335}"
Karion,Non-binary,Sylph,Mage,Assassin,Melee,"A ancient warrior from the Sylph lineage, known for unmatched strength.","{'hp_base': 643, 'hp_lvl': 118, 'mp_base': 385, 'mp_lvl': 30, 'armor_base': 18, 'armor_lvl': 3.2, 'attack_base': 70, 'attack_lvl': 2.6, 'speed': 345}"
Loriel,Female,Fireborn,Marksman,Support,Ranged,"A ancient warrior from the Fireborn lineage, known for unmatched strength.","{'hp_base': 623, 'hp_lvl': 81, 'mp_base': 306, 'mp_lvl': 53, 'armor_base': 27, 'armor_lvl': 3.2, 'attack_base': 54, 'attack_lvl': 3.2, 'speed': 330}"
Lorra,Female,Fireborn,Tank,Support,Ranged,"A cursed warrior from the Fireborn lineage, known for stealth tactics.","{'hp_base': 645, 'hp_lvl': 117, 'mp_base': 346, 'mp_lvl': 37, 'armor_base': 33, 'armor_lvl': 2.9, 'attack_base': 62, 'attack_lvl': 2.6, 'speed': 345}"
Nirus,Female,Demon,Support,Tank,Ranged,"A mysterious warrior from the Demon lineage, known for stealth tactics.","{'hp_base': 602, 'hp_lvl': 103, 'mp_base': 0, 'mp_lvl': 36, 'armor_base': 18, 'armor_lvl': 2.7, 'attack_base': 57, 'attack_lvl': 2.7, 'speed': 325}"
Zulyx,Male,Celestian,Tank,Fighter,Melee,"A noble warrior from the Celestian lineage, known for unyielding defense.","{'hp_base': 515, 'hp_lvl': 110, 'mp_base': 414, 'mp_lvl': 40, 'armor_base': 20, 'armor_lvl': 3.7, 'attack_base': 53, 'attack_lvl': 3.7, 'speed': 330}"
Gorith,Non-binary,Sylph,Assassin,Fighter,Melee,"A cursed warrior from the Sylph lineage, known for stealth tactics.","{'hp_base': 636, 'hp_lvl': 81, 'mp_base': 0, 'mp_lvl': 51, 'armor_base': 28, 'armor_lvl': 3.1, 'attack_base': 58, 'attack_lvl': 3.6, 'speed': 330}"
Loreth,Male,Dwarven,Support,Marksman,Ranged,"A mysterious warrior from the Dwarven lineage, known for unyielding defense.","{'hp_base': 630, 'hp_lvl': 85, 'mp_base': 0, 'mp_lvl': 37, 'armor_base': 33, 'armor_lvl': 4.5, 'attack_base': 54, 'attack_lvl': 3.6, 'speed': 340}"
Karen,Male,Targonian,Support,Tank,Ranged,"A powerful warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 667, 'hp_lvl': 90, 'mp_base': 0, 'mp_lvl': 44, 'armor_base': 33, 'armor_lvl': 2.7, 'attack_base': 54, 'attack_lvl': 2.7, 'speed': 335}"
Baelyx,Non-binary,Targonian,Marksman,Assassin,Ranged,"A noble warrior from the Targonian lineage, known for blazing speed.","{'hp_base': 591, 'hp_lvl': 116, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 24, 'armor_lvl': 3.8, 'attack_base': 69, 'attack_lvl': 3.7, 'speed': 345}"
Loron,Female,Targonian,Mage,Assassin,Ranged,"A ancient warrior from the Targonian lineage, known for unyielding defense.","{'hp_base': 609, 'hp_lvl': 95, 'mp_base': 0, 'mp_lvl': 30, 'armor_base': 31, 'armor_lvl': 3.3, 'attack_base': 50, 'attack_lvl': 2.6, 'speed': 335}"
Mytheth,Male,Fireborn,Support,,Ranged,"A mysterious warrior from the Fireborn lineage, known for unyielding defense.","{'hp_base': 504, 'hp_lvl': 96, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 29, 'armor_lvl': 4.3, 'attack_base': 65, 'attack_lvl': 3.3, 'speed': 325}"
Draxra,Non-binary,Demon,Tank,Support,Ranged,"A cursed warrior from the Demon lineage, known for stealth tactics.","{'hp_base': 560, 'hp_lvl': 128, 'mp_base': 406, 'mp_lvl': 60, 'armor_base': 21, 'armor_lvl': 3.1, 'attack_base': 56, 'attack_lvl': 3.1, 'speed': 335}"
Elyiel,Non-binary,Golemkin,Support,Tank,Melee,"A noble warrior from the Golemkin lineage, known for unmatched strength.","{'hp_base': 543, 'hp_lvl': 82, 'mp_base': 376, 'mp_lvl': 55, 'armor_base': 23, 'armor_lvl': 4.3, 'attack_base': 55, 'attack_lvl': 3.7, 'speed': 335}"
Draxra,Female,Fireborn,Support,,Melee,"A forgotten warrior from the Fireborn lineage, known for stealth tactics.","{'hp_base': 619, 'hp_lvl': 119, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 30, 'armor_lvl': 2.6, 'attack_base': 67, 'attack_lvl': 3.5, 'speed': 325}"
Tharus,Male,Vastayan,Tank,Support,Melee,"A powerful warrior from the Vastayan lineage, known for unyielding defense.","{'hp_base': 577, 'hp_lvl': 95, 'mp_base': 413, 'mp_lvl': 58, 'armor_base': 28, 'armor_lvl': 2.9, 'attack_base': 49, 'attack_lvl': 2.7, 'speed': 330}"
Baelor,Male,Skyborne,Fighter,Mage,Melee,"A powerful warrior from the Skyborne lineage, known for stealth tactics.","{'hp_base': 550, 'hp_lvl': 113, 'mp_base': 420, 'mp_lvl': 40, 'armor_base': 18, 'armor_lvl': 4.3, 'attack_base': 53, 'attack_lvl': 3.2, 'speed': 340}"
Syliel,Female,Dwarven,Support,Assassin,Melee,"A noble warrior from the Dwarven lineage, known for unmatched strength.","{'hp_base': 671, 'hp_lvl': 102, 'mp_base': 306, 'mp_lvl': 40, 'armor_base': 30, 'armor_lvl': 3.7, 'attack_base': 61, 'attack_lvl': 3.2, 'speed': 345}"
Zuleth,Female,Golemkin,Assassin,,Melee,"A mysterious warrior from the Golemkin lineage, known for unmatched strength.","{'hp_base': 539, 'hp_lvl': 126, 'mp_base': 0, 'mp_lvl': 55, 'armor_base': 36, 'armor_lvl': 3.4, 'attack_base': 48, 'attack_lvl': 3.4, 'speed': 330}"
Lorion,Male,Demon,Tank,,Ranged,"A mysterious warrior from the Demon lineage, known for blazing speed.","{'hp_base': 611, 'hp_lvl': 121, 'mp_base': 0, 'mp_lvl': 31, 'armor_base': 22, 'armor_lvl': 3.9, 'attack_base': 59, 'attack_lvl': 3.7, 'speed': 340}"
Tharen,Non-binary,Celestian,Support,Tank,Melee,"A noble warrior from the Celestian lineage, known for unmatched strength.","{'hp_base': 687, 'hp_lvl': 126, 'mp_base': 326, 'mp_lvl': 31, 'armor_base': 35, 'armor_lvl': 2.8, 'attack_base': 62, 'attack_lvl': 3.7, 'speed': 345}"
Kaelion,Non-binary,Demon,Assassin,,Melee,"A ancient warrior from the Demon lineage, known for unmatched strength.","{'hp_base': 648, 'hp_lvl': 81, 'mp_base': 419, 'mp_lvl': 0, 'armor_base': 33, 'armor_lvl': 3.1, 'attack_base': 67, 'attack_lvl': 2.5, 'speed': 325}"
Elyiel,Non-binary,Vastayan,Support,,Melee,"A ancient warrior from the Vastayan lineage, known for unmatched strength.","{'hp_base': 603, 'hp_lvl': 117, 'mp_base': 437, 'mp_lvl': 60, 'armor_base': 19, 'armor_lvl': 4.4, 'attack_base': 50, 'attack_lvl': 3.1, 'speed': 345}"
Elyyx,Female,Targonian,Fighter,Assassin,Ranged,"A forgotten warrior from the Targonian lineage, known for stealth tactics.","{'hp_base': 617, 'hp_lvl': 91, 'mp_base': 398, 'mp_lvl': 34, 'armor_base': 24, 'armor_lvl': 3.9, 'attack_base': 56, 'attack_lvl': 3.2, 'speed': 325}"
Karus,Female,Demon,Mage,Fighter,Melee,"A forgotten warrior from the Demon lineage, known for arcane mastery.","{'hp_base': 638, 'hp_lvl': 130, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 2.5, 'attack_base': 62, 'attack_lvl': 2.6, 'speed': 330}"
Loryx,Female,Fireborn,Marksman,Tank,Ranged,"A forgotten warrior from the Fireborn lineage, known for unmatched strength.","{'hp_base': 522, 'hp_lvl': 121, 'mp_base': 339, 'mp_lvl': 0, 'armor_base': 21, 'armor_lvl': 4.1, 'attack_base': 68, 'attack_lvl': 3.7, 'speed': 330}"
Draxae,Non-binary,Demon,Marksman,Fighter,Ranged,"A noble warrior from the Demon lineage, known for unmatched strength.","{'hp_base': 516, 'hp_lvl': 100, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 32, 'armor_lvl': 4.2, 'attack_base': 59, 'attack_lvl': 3.3, 'speed': 330}"
Nirion,Male,Sylph,Fighter,,Ranged,"A mysterious warrior from the Sylph lineage, known for unyielding defense.","{'hp_base': 626, 'hp_lvl': 125, 'mp_base': 398, 'mp_lvl': 39, 'armor_base': 29, 'armor_lvl': 4.1, 'attack_base': 54, 'attack_lvl': 3.4, 'speed': 340}"
Elyon,Male,Sylph,Assassin,Tank,Melee,"A cursed warrior from the Sylph lineage, known for unmatched strength.","{'hp_base': 580, 'hp_lvl': 101, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 23, 'armor_lvl': 2.5, 'attack_base': 51, 'attack_lvl': 3.6, 'speed': 325}"
Gorara,Male,Golemkin,Mage,,Melee,"A forgotten warrior from the Golemkin lineage, known for blazing speed.","{'hp_base': 599, 'hp_lvl': 105, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 28, 'armor_lvl': 4.4, 'attack_base': 66, 'attack_lvl': 3.1, 'speed': 345}"
Velax,Non-binary,Sylph,Marksman,Support,Ranged,"A noble warrior from the Sylph lineage, known for unmatched strength.","{'hp_base': 664, 'hp_lvl': 95, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 2.5, 'attack_base': 49, 'attack_lvl': 2.5, 'speed': 340}"
Vexor,Female,Celestian,Marksman,,Melee,"A forgotten warrior from the Celestian lineage, known for blazing speed.","{'hp_base': 573, 'hp_lvl': 90, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 32, 'armor_lvl': 3.0, 'attack_base': 67, 'attack_lvl': 3.4, 'speed': 335}"
Baelen,Male,Targonian,Tank,Support,Ranged,"A cursed warrior from the Targonian lineage, known for unyielding defense.","{'hp_base': 677, 'hp_lvl': 109, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 24, 'armor_lvl': 4.0, 'attack_base': 62, 'attack_lvl': 3.2, 'speed': 335}"
Draxen,Male,Dwarven,Mage,,Melee,"A mysterious warrior from the Dwarven lineage, known for stealth tactics.","{'hp_base': 687, 'hp_lvl': 124, 'mp_base': 443, 'mp_lvl': 50, 'armor_base': 33, 'armor_lvl': 4.2, 'attack_base': 51, 'attack_lvl': 3.5, 'speed': 325}"
Kaelion,Male,Golemkin,Support,Marksman,Ranged,"A cursed warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 678, 'hp_lvl': 115, 'mp_base': 344, 'mp_lvl': 42, 'armor_base': 22, 'armor_lvl': 4.3, 'attack_base': 51, 'attack_lvl': 3.5, 'speed': 330}"
Vexus,Male,Demon,Marksman,Assassin,Ranged,"A forgotten warrior from the Demon lineage, known for unyielding defense.","{'hp_base': 587, 'hp_lvl': 108, 'mp_base': 0, 'mp_lvl': 42, 'armor_base': 34, 'armor_lvl': 4.2, 'attack_base': 60, 'attack_lvl': 3.7, 'speed': 325}"
Loron,Female,Golemkin,Tank,Fighter,Melee,"A noble warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 547, 'hp_lvl': 83, 'mp_base': 330, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 4.1, 'attack_base': 65, 'attack_lvl': 3.1, 'speed': 335}"
Baelith,Female,Vastayan,Fighter,,Ranged,"A noble warrior from the Vastayan lineage, known for unmatched strength.","{'hp_base': 511, 'hp_lvl': 127, 'mp_base': 401, 'mp_lvl': 0, 'armor_base': 19, 'armor_lvl': 4.4, 'attack_base': 58, 'attack_lvl': 2.9, 'speed': 345}"
